year,date,basic_training_duration_in_weeks,spanish_training_duration_in_weeks,notes,source_link,
2003,,,0,,,
2004,,,0,,,
2005,,,0,,,
2006,,,0,,,
2007,Apr-07,18.5,5,Spanish implemented 04/2007,https://www.gao.gov/assets/gao-07-454.pdf,
2008,Apr-08,13,5,,https://www.ice.gov/doclib/about/offices/ero/pdf/ice_d_handbook.pdf,
2009,,,,,,
2010,,,,,,
2011,Feb-11,13,5,,https://www.nyulawreview.org/wp-content/uploads/2018/08/NYULawReview-86-1-Iguina.pdf,
2012,Jan-12,14,5,,https://www.mspb.gov/decisions/nonprecedential/HARVEY_SHAMIS_DE_315H_13_0102_B_1_FINAL_ORDER_1137740.pdf?utm_source=chatgpt.com,
2013,,,,,,
2014,,,,,,
2015,Feb-15,16,5,,https://www.ice.gov/sites/default/files/documents/Document/2016/ero-preacademy-handbook.pdf,
2016,,,,,,
2017,6/7/2017,16,5,,https://www.benning.army.mil/garrison/dhr/TAP/content/FEO/ICE%20Careers%20for%20Veterans.pdf,
2018,,,,,,
2019,,,,,,
2020,,,,,,
2021,,,,,,
2022,,,,,,
2023,,,,,,
2024,,,,,,
2025,1/10/2025,16,5,,https://www.police1.com/immigration-and-customs-enforcement/articles/how-to-become-a-border-patrol-or-ice-agent-AhJpD6FweZa0kIOS/?utm_source=chatgpt.com,
2025,8/21/2025,8,0,,https://apnews.com/article/border-immigration-mass-deportation-ice-trump-722e82dbd288e7af4afe69192d8c8cfb,https://www.politifact.com/factchecks/2026/jan/12/mark-warner/ICE-training-requirements-Trump-Minneapolis/?utm_source=chatgpt.com
2026,Jan-26,8,0,,https://www.npr.org/2026/01/09/nx-s1-5671120/homeland-security-expert-talks-about-ices-truncated-training-after-hiring-blitz,
